symbol,cagr,avg_fcf_margin,dcf_base_case,dcf_bull,dcf_bear
NEE,9.36,7.52,-30.128102022361382,-16.626501662975702,-35.555916857869846
NKE,-0.29,9.73,45.37481409356249,77.83132101253008,32.27787711872957
NI,4.32,1.0,-32.74874362834867,-31.251205844241735,-33.35186278846449
NDSN,2.53,20.72,116.10445988235679,219.04462640897637,74.61646373851353
NSC,-1.5,14.09,19.92464488301769,82.0090105958874,-5.141955151275461
NTRS,6.15,24.37,148.67731401970826,274.15291416555493,98.17804145829182
NOC,4.65,5.91,166.33469749440854,357.8882311818682,89.19827448869157
NCLH,26.6,1.0,-26.60374093129826,-20.542708021745227,-29.029513970319293
NRG,-0.88,1.5,-82.79659746789524,-64.55261358623999,-90.1604857132725
NUE,-7.84,8.93,95.66801567374233,170.11566931348892,65.50750985828637
NVDA,30.0,37.47,143.32698087204685,251.27437621878508,100.15216621948082
NVR,-0.63,14.1,6999.192813212994,11585.506724664145,5148.2241759909675
NXPI,-2.42,18.2,71.06061439622592,139.67270546038537,43.34610518919459
ORLY,7.26,12.96,38.74781595995576,73.26606139121736,24.861063447539763
OXY,-10.0,26.17,33.975351046949385,63.4873470924617,22.00310678947201
ODFL,-4.24,15.28,44.478042264684255,73.00724872722404,32.94354492334206
OMC,6.52,10.34,81.69173095511451,156.8711234973196,51.438953509849
ON,-10.0,16.32,18.581115329745014,31.65189414029668,13.2786425212621
OKE,14.53,11.02,86.01805905691734,187.1729925021066,45.416547727007035
ORCL,10.59,12.6,8.01002232911249,44.34661819131433,-6.591958106260643
OTIS,1.79,10.28,34.75548183119809,71.7375870684126,19.845944714456618
PCAR,-0.44,8.32,44.74727636455578,83.27725745071803,29.198500048621934
PKG,1.97,8.27,74.53894569032782,155.06126683550275,42.07848672153546
PLTR,30.0,31.93,29.79920016036962,49.91316027408885,21.754388175332924
PANW,18.79,36.75,117.39621950358912,203.14822388623134,83.01602015219187
PSKY,0.73,1.0,-9.889462418097297,-7.450448037107373,-10.873214050837655
PH,7.76,14.84,348.0085147085866,644.8737630233086,228.60012783125137
PAYX,6.51,31.59,74.80678219285963,133.6716043382679,51.11896972062243
PYPL,6.43,17.7,110.5520117899234,190.00348742970976,78.57899693763864
PNR,0.44,13.7,34.18171096091658,65.87509782416441,21.396870836060167
PEP,2.83,7.79,47.49048344242801,101.324834215194,25.796276411443415
PFE,-10.0,15.93,5.362604503202964,14.45029425470714,1.6759666602934418
PCG,4.77,1.0,-26.27061621956547,-25.020104381163144,-26.774160051574235
PM,8.57,26.93,100.71658295851636,193.29407167912183,63.4893613288043
PSX,-8.0,3.06,36.59963198123998,95.16064595344054,12.87290763435762
PNW,7.28,1.0,-117.1377360873454,-111.66310070037318,-119.34017314314083
PNC,3.01,36.72,174.74805221281926,388.9527189501063,88.43409330583003
POOL,-5.05,9.81,105.43090987360229,201.8298750100707,66.4395041152581
PPG,0.55,6.61,34.96323722812736,77.38459451090024,17.851718633581687
PPL,4.59,1.0,-23.430816224970656,-22.114675138418075,-23.960823373290484
PFG,-3.77,25.24,205.26249190779745,337.4101110929123,151.84769331585838
PG,1.67,17.51,77.5021574976527,137.81325827127495,53.186271646085146
PGR,20.9,17.32,777.75255201451,1363.4551536761398,543.0494323076573
PLD,13.74,40.0,49.52225335654725,112.18172896725824,24.366387577741914
PRU,2.28,10.84,222.97112667524445,409.4018076494367,147.8261042355364
