symbol,name,sector,industry,current_price,market_cap,enterprise_value,pe_ratio,forward_pe,ps_ratio,pb_ratio,ev_ebitda,ev_revenue,peg_ratio,beta,revenue,gross_profit,ebitda,net_income,earnings_per_share,free_cash_flow,operating_cash_flow,total_debt,total_cash,shares_outstanding,roe,roa,debt_to_equity,current_ratio,quick_ratio,fifty_two_week_high,fifty_two_week_low,dividend_yield,payout_ratio,analyst_target_price,recommendation,gross_margin,ebitda_margin,net_margin,fcf_margin,fifty_two_week_position,net_debt,p_fcf,altman_z_score,z_score_zone
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,215.7,55422390272.0,66191900672.0,34.902912,14.518018,3.9035351,2.3307328,16.715,4.662,0.88,0.533,14197999616.0,6095000064.0,3960000000.0,1612000000.0,6.18,1080225024.0,2015000064.0,13372000256.0,1412999936.0,256942000.0,0.07007,0.0228,56.18,1.063,0.187,337.33,190.75,1.33,0.42880002,265.78946,buy,0.4292858310216762,0.2789125304340338,0.1135371209746622,0.076082902747981,17.021421749215442,11959000320.0,51.30633726181851,1.167,not applicable
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,257.76,12771398656.0,12755158016.0,13.218462,11.471913,0.9704415,2.1813567,7.783,0.969,2.16,0.569,13160399872.0,1677299968.0,1638899968.0,991600000.0,19.5,2029737472.0,1681799936.0,2207500032.0,1921500032.0,49547637.0,0.18016,0.024360001,37.61,0.386,0.144,260.97,183.39,1.4,0.1722,280.5,strong_buy,0.1274505322265028,0.1245326877557053,0.0753472546156992,0.154230683850151,95.8623356535189,286000000.0,6.292143239852448,,not applicable
T,AT&T Inc.,Communication Services,Telecom Services,22.905,159151702016.0,323962667008.0,7.5345397,8.972676,1.2578379,1.4583598,7.294,2.56,1.72,0.395,126527995904.0,75175002112.0,44411998208.0,21325000704.0,3.04,8849000448.0,38791999488.0,159750995968.0,11964000256.0,6948338835.0,0.18370001,0.041160002,125.175,0.918,0.523,29.79,22.59,4.87,0.3651,30.29545,buy,0.5941373019852237,0.3510053082773595,0.1685397808733161,0.0699370948285149,4.375000000000019,147786995712.0,17.98527437657047,0.932,distress
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,171.57,28638435328.0,37539393536.0,21.155365,19.126772,5.8670397,1.920911,14.778,7.691,2.04,0.601,4881241088.0,2976948992.0,2540303104.0,1345771008.0,8.11,-2210371840.0,1876044032.0,9629233152.0,125694000.0,166919822.0,0.096,0.03876,64.588,1.003,0.612,192.51,149.98,2.38,0.46060002,188.45454,hold,0.6098754268291532,0.5204215604603221,0.2757026304864211,-0.4528298848901274,50.76416647072656,9503539152.0,-12.956387401560454,1.763,distress
ADSK,"Autodesk, Inc.",Technology,Software - Application,232.215,49031094272.0,49098039296.0,33.9,16.276623,6.5313835,15.364231,22.954,6.54,0.92,1.295,7506999808.0,6938999808.0,2139000064.0,1463000064.0,6.85,3060999936.0,2780999936.0,2724000000.0,2924000000.0,211145251.0,0.50396,0.113249995,85.419,0.835,0.669,329.09,214.1,0.0,0.0,319.26718,strong_buy,0.9243372832653202,0.2849340773554473,0.1948847877205114,0.4077527659902132,15.753543786416222,-200000000.0,16.017999178737977,3.955,safe
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,234.11,93581787136.0,93632135168.0,21.85901,19.199667,4.33241,14.769415,14.769,4.335,2.16,0.845,21600399360.0,10475499520.0,6339899904.0,4345600000.0,10.71,4749387264.0,5452400128.0,4398000128.0,3228400128.0,399734282.0,0.71208,0.05949,69.259,1.043,0.131,329.93,188.16,2.94,0.6045,246.33333,hold,0.4849678631126938,0.2935084577991802,0.2011814655634218,0.2198749747560223,32.411652676871,1169600000.0,19.703971808819,2.658,grey
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,3103.43,50800046080.0,62944739328.0,21.333815,17.698524,2.5417302,-18.243559,14.752,3.149,1.37,0.349,19986403328.0,10343739392.0,4266778880.0,2478124032.0,145.47,,,12750193664.0,253728992.0,16369000.0,0.30857,0.11389,121.351,0.89,0.025,4388.11,2928.11,0.0,0.0,3937.6086,strong_buy,0.5175388098722552,0.2134840776490508,0.1239904945042446,,12.008219178082175,12496464672.0,,2.628,grey
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,190.56,27035140096.0,35906433024.0,23.584158,39.115067,8.83484,2.3037863,19.45,11.734,7.17,0.789,3060059904.0,1919479040.0,1846126976.0,1138256000.0,8.08,1392035584.0,1674135040.0,9524757504.0,124626000.0,141872069.0,0.09719,0.02646,81.307,0.375,0.052,209.86,160.1,3.76,0.8711,194.83333,buy,0.627268452323736,0.6032976588421715,0.3719718030722577,0.4549046841143147,61.21382636655947,9400131504.0,19.42130056112129,1.859,not applicable
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,154.78,11839181824.0,15210551296.0,17.449831,13.861611,1.314632,5.157958,10.541,1.689,1.92,0.833,9005700096.0,2589600000.0,1443000064.0,689800000.0,8.87,809049984.0,1034200000.0,3790099968.0,301700000.0,76490385.0,0.30857,0.082650006,164.751,1.15,0.696,199.54,152.68,2.61,0.4234,200.3,buy,0.287551214496939,0.1602318585582177,0.0765959328699368,0.0898375445968215,4.481434058898836,3488399968.0,14.63343677700388,3.44,safe
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,485.2,39108128768.0,42468372480.0,197.23578,45.888912,13.109245,11.061715,412.871,14.236,1.64,1.422,2983247872.0,1773918976.0,102861000.0,205988000.0,2.46,62617500.0,154028000.0,1840359040.0,736972992.0,80602077.0,0.06765,0.00084,52.074,2.271,1.699,885.92,339.01,0.0,0.0,662.0378,buy,0.5946267464562864,0.0344795351956594,0.069048234956723,0.0209897074218042,26.7301749830868,1103386048.0,624.5558791136663,7.296,safe
