symbol,cagr,avg_fcf_margin,wacc_7_tgr_1,wacc_7_tgr_2,wacc_7_tgr_3,wacc_7_tgr_4,wacc_7_tgr_5,wacc_8_tgr_1,wacc_8_tgr_2,wacc_8_tgr_3,wacc_8_tgr_4,wacc_8_tgr_5,wacc_9_tgr_1,wacc_9_tgr_2,wacc_9_tgr_3,wacc_9_tgr_4,wacc_9_tgr_5,wacc_10_tgr_1,wacc_10_tgr_2,wacc_10_tgr_3,wacc_10_tgr_4,wacc_10_tgr_5,wacc_11_tgr_1,wacc_11_tgr_2,wacc_11_tgr_3,wacc_11_tgr_4,wacc_11_tgr_5,wacc_12_tgr_1,wacc_12_tgr_2,wacc_12_tgr_3,wacc_12_tgr_4,wacc_12_tgr_5,wacc_13_tgr_1,wacc_13_tgr_2,wacc_13_tgr_3,wacc_13_tgr_4,wacc_13_tgr_5
TECH,3.33,21.44,30.66,35.66,43.16,55.67,80.69,26.16,29.61,34.43,41.66,53.71,22.79,25.28,28.6,33.25,40.21,20.17,22.04,24.44,27.64,32.12,18.08,19.52,21.32,23.63,26.72,16.36,17.5,18.89,20.63,22.86,14.94,15.85,16.95,18.29,19.97
BIIB,-0.94,17.42,164.81,193.13,235.6,306.4,448.0,139.29,158.78,186.07,226.99,295.21,120.15,134.24,153.02,179.32,218.77,105.26,115.82,129.4,147.51,172.87,93.34,101.49,111.67,124.77,142.24,83.58,90.01,97.87,107.7,120.34,75.44,80.62,86.82,94.41,103.9
BLK,10.65,20.96,820.38,958.34,1165.26,1510.14,2199.9,696.93,791.87,924.78,1124.15,1456.43,604.49,673.12,764.62,892.72,1084.87,532.72,584.18,650.34,738.56,862.07,475.4,515.11,564.74,628.55,713.64,428.6,459.95,498.25,546.13,607.7,389.68,414.89,445.14,482.1,528.31
BX,20.27,40.0,232.92,275.73,339.94,446.97,661.01,194.76,224.22,265.47,327.34,430.45,166.22,187.52,215.92,255.67,315.3,144.09,160.06,180.6,207.97,246.3,126.45,138.77,154.17,173.97,200.38,112.06,121.79,133.67,148.53,167.64,100.11,107.93,117.32,128.79,143.13
XYZ,11.33,4.07,46.58,54.57,66.57,86.55,126.52,39.43,44.93,52.63,64.19,83.44,34.07,38.05,43.35,50.78,61.91,29.92,32.9,36.73,41.85,49.0,26.6,28.9,31.77,35.47,40.4,23.89,25.7,27.92,30.7,34.27,21.63,23.09,24.85,26.99,29.67
BNY,6.87,33.44,452.84,486.97,538.17,623.49,794.15,422.24,445.73,478.61,527.94,610.15,399.31,416.29,438.93,470.62,518.16,381.5,394.23,410.6,432.42,462.98,367.26,377.09,389.37,405.15,426.2,355.63,363.39,372.86,384.71,399.94,345.95,352.19,359.67,368.82,380.25
BA,10.33,1.0,,,2.95,14.75,38.34,,,,1.55,12.91,,,,,0.2,,,,,,,,,,,,,,,,,,,,
BKNG,16.35,33.99,374.53,438.55,534.58,694.63,1014.74,317.38,361.44,423.12,515.64,669.85,274.62,306.47,348.93,408.38,497.55,241.44,265.32,296.03,336.97,394.29,214.97,233.4,256.43,286.05,325.53,193.38,207.93,225.7,247.92,276.49,175.44,187.14,201.17,218.33,239.78
BSX,16.54,12.56,48.37,57.65,71.56,94.74,141.12,40.09,46.48,55.41,68.82,91.16,33.9,38.51,44.66,53.28,66.2,29.09,32.55,37.0,42.93,51.24,25.26,27.93,31.27,35.56,41.28,22.13,24.24,26.81,30.03,34.17,19.53,21.23,23.26,25.75,28.85
BMY,1.45,27.38,93.35,111.0,137.49,181.63,269.92,77.46,89.62,106.63,132.15,174.68,65.55,74.34,86.05,102.45,127.04,56.29,62.88,71.35,82.64,98.45,48.88,53.96,60.32,68.48,79.37,42.82,46.83,51.73,57.86,65.74,37.77,41.0,44.87,49.6,55.51
AVGO,24.38,40.0,226.61,267.47,328.75,430.89,635.17,190.25,218.37,257.73,316.77,415.18,163.06,183.39,210.49,248.42,305.33,141.99,157.23,176.83,202.95,239.53,125.2,136.95,151.65,170.55,195.75,111.51,120.79,132.14,146.32,164.55,100.15,107.61,116.57,127.52,141.21
BR,6.46,12.17,127.82,153.02,190.82,253.83,379.84,105.21,122.56,146.84,183.26,243.97,88.28,100.82,117.53,140.94,176.04,75.12,84.52,96.61,112.73,135.29,64.61,71.86,80.93,92.59,108.13,56.01,61.74,68.74,77.49,88.73,48.86,53.47,58.99,65.75,74.19
