symbol,name,current_price,fair_value_per_share,upside_pct,predicted_ev
DOW,Dow Inc.,34.055,36.89926854462335,8.4,4.189983e+10
DHI,"D.R. Horton, Inc.",146.57,148.13177837293966,1.1,4.6732653e+10
DTE,DTE Energy Company,146.375,143.03576132927637,-2.3,5.648949e+10
DUK,Duke Energy Corporation,124.914,125.87390065285553,0.8,1.8719982e+11
DD,"DuPont de Nemours, Inc.",47.06,48.975250583865474,4.1,2.2344827e+10
ETN,Eaton Corporation plc,397.485,416.39312696368785,4.8,1.8276745e+11
EBAY,eBay Inc.,109.85,108.9063432072072,-0.9,5.1700417e+10
SATS,EchoStar Corporation,114.01,228.14398786558698,100.1,6.3878762e+10
ECL,Ecolab Inc.,259.5653,258.63150283362023,-0.4,8.15353e+10
EIX,Edison International,73.655,60.177974746229175,-18.3,6.568512e+10
EW,Edwards Lifesciences Corporation,85.68,82.06161628343175,-4.2,4.428248e+10
EA,Electronic Arts Inc.,203.34,204.0009317910956,0.3,5.0027536e+10
EME,"EMCOR Group, Inc.",820.145,844.0170250960176,2.9,3.710845e+10
EMR,Emerson Electric Co.,138.2,142.5287710623103,3.1,9.2096365e+10
ETR,Entergy Corporation,111.46,114.00506951884556,2.3,8.268781e+10
EOG,"EOG Resources, Inc.",139.24,140.527426272115,0.9,7.930592e+10
EQT,EQT Corporation,54.19,60.99898192422435,12.6,4.3819364e+10
EFX,Equifax Inc.,171.325,203.60010527711756,18.8,2.9367855e+10
EQIX,"Equinix, Inc.",1088.025,1088.0968576409323,0.0,1.2928673e+11
EQR,Equity Residential,68.69,68.98905013337385,0.4,3.4459677e+10
ESS,"Essex Property Trust, Inc.",287.725,289.15476451703245,0.5,2.539691e+10
EL,The Estée Lauder Companies Inc.,83.29,124.85766980985873,49.9,3.704975e+10
EVRG,"Evergy, Inc.",83.63,81.14708027453112,-3.0,3.456336e+10
ES,Eversource Energy,71.4,70.57188060971863,-1.2,5.6610185e+10
EXC,Exelon Corporation,45.96,53.005358043759585,15.3,1.04763515e+11
EXE,Expand Energy Corporation,93.04,93.51413165056861,0.5,2.5210278e+10
EXPE,"Expedia Group, Inc.",227.93,248.8986602939555,9.2,2.7414555e+10
EXPD,"Expeditors International of Washington, Inc.",160.77,160.11292826708674,-0.4,2.0189835e+10
EXR,Extra Space Storage Inc.,146.625,150.83706167050212,2.9,4.5665677e+10
XOM,Exxon Mobil Corporation,150.78,153.93936612791978,2.1,6.7729654e+11
FFIV,"F5, Inc.",397.51,407.3902907637176,2.5,2.1801703e+10
FDS,FactSet Research Systems Inc.,256.58,255.88816420639415,-0.3,1.0590684e+10
FICO,Fair Isaac Corporation,1149.3582,1170.7817455687157,1.9,3.0588688e+10
FAST,Fastenal Company,47.17,47.102997248966425,-0.1,5.4212792e+10
FRT,Federal Realty Investment Trust,123.465,124.15020734594859,0.6,1.5538506e+10
FDX,FedEx Corporation,333.28,328.86272977115533,-1.3,1.1227187e+11
FIS,"Fidelity National Information Services, Inc.",41.2,41.40425571934125,0.5,4.1791996e+10
FSLR,"First Solar, Inc.",279.25,314.2642952180101,12.5,3.1929317e+10
FE,FirstEnergy Corp.,46.71,47.845685855365595,2.4,5.5683437e+10
F,Ford Motor Company,14.735,15.557608573954186,5.6,1.98622e+11
FTNT,"Fortinet, Inc.",144.93,150.14965660383194,3.6,1.07279204e+11
FTV,Fortive Corporation,61.24,60.29051513279554,-1.6,2.1606228e+10
FOXA,Fox Corporation,66.369,138.51859157172296,108.7,3.1604855e+10
BEN,"Franklin Resources, Inc.",31.51,36.797863844849495,16.8,1.9980438e+10
FCX,Freeport-McMoRan Inc.,63.2,67.92655373972896,7.5,1.0431249e+11
GRMN,Garmin Ltd.,238.38,192.54898120312498,-19.2,3.464943e+10
IT,"Gartner, Inc.",163.095,202.67861634195265,24.3,1.5257945e+10
GE,GE Aerospace,327.93,328.8540794616613,0.3,3.538457e+11
GEHC,GE HealthCare Technologies Inc.,64.28,64.4089796248816,0.2,3.7615116e+10
GEV,GE Vernova Inc.,930.37,966.2394397112132,3.9,2.5363086e+11
GEN,Gen Digital Inc.,26.6,36.220421198308024,36.2,2.9678408e+10
GNRC,Generac Holdings Inc.,258.275,279.4133664384293,8.2,1.7576632e+10
GD,General Dynamics Corporation,347.04,340.60992565153236,-1.9,9.8289205e+10
GIS,"General Mills, Inc.",33.375,39.943695976199784,19.7,2.09182e+10
GM,General Motors Company,81.95,86.2963435912595,5.3,1.821664e+11
GPC,Genuine Parts Company,97.92,99.30784994784179,1.4,1.988099e+10
GILD,"Gilead Sciences, Inc.",130.95,128.78831417908583,-1.7,1.7225669e+11
GPN,Global Payments Inc.,66.16,71.26605538474726,7.7,3.7220303e+10
GDDY,GoDaddy Inc.,84.475,84.91400854801985,0.5,1.3779751e+10
