symbol,name,sector,current_price,market_cap,pe_ratio,ev_ebitda,altman_z_score,z_score_zone,ml_fair_value,ml_upside,dcf_base_case,dcf_bull,dcf_bear,dcf_upside,cagr,avg_fcf_margin
CBOE,"Cboe Global Markets, Inc.",Financial Services,284.34,29757255680.0,24.302565,16.468,6.172,not applicable,288.89297594819885,1.6,199.61932181129896,335.7476630680269,144.8296799199031,-29.8,6.0,25.83
CBRE,"CBRE Group, Inc.",Real Estate,131.82,38599081984.0,30.164762,21.84,3.09,not applicable,114.0967824229652,-13.4,48.99198296414016,105.5781173177957,26.245157119841448,-62.8,9.57,2.96
CDW,CDW Corporation,Technology,133.7636,17088760832.0,16.292765,11.796,2.518,grey,127.92849977884354,-4.4,72.43728266899639,150.13143672657964,41.06228946829575,-45.8,-1.89,5.56
COR,"Cencora, Inc.",Healthcare,276.98,53889523712.0,21.20827,12.395,4.871,safe,271.14739905302736,-2.1,286.5507217059461,538.8893706690806,185.14261485892132,3.5,10.43,1.06
CNC,Centene Corporation,Healthcare,62.43,30827747328.0,26.364431,8.155,2.605,grey,115.4383427359826,84.9,218.2064284725589,363.55892040785847,159.79352513499595,249.5,10.45,2.57
CNP,"CenterPoint Energy, Inc.",Utilities,42.895,28060600320.0,26.31595,13.883,0.878,distress,46.63702598904492,8.7,-34.047152246947434,-32.78603601960966,-34.55594563540808,-179.4,0.13,1.0
CF,"CF Industries Holdings, Inc.",Basic Materials,114.765,17631264768.0,10.329884,6.56,3.324,safe,134.98059709635808,17.6,85.55048319712564,145.91837224611535,61.06081086563654,-25.5,-10.0,25.2
CRL,"Charles River Laboratories International, Inc.",Healthcare,183.825,8854432768.0,26.364431,13.342,2.249,grey,209.27551786227,13.8,53.949491015530185,131.0811184943416,22.833761801805675,-70.7,0.33,10.39
SCHW,The Charles Schwab Corporation,Financial Services,88.26,153496109056.0,17.546719,11.172,,not applicable,,,104.74673950625642,162.86298555234066,81.34560769585403,18.7,4.83,38.15
CHTR,"Charter Communications, Inc.",Communication Services,130.06,20377587712.0,3.5189395,5.318,0.601,distress,239.14315043546085,83.9,-296.4086141021148,-34.26392878717569,-402.1543341055861,-327.9,0.46,7.54
